Category,Text
0,ডাউনলোড সাত দশমিক বিয়াল্লিশ এমবি সবুজ ব্যানার লিঙ্কে ক্লিক করুন
0,চৌদ্দ ফেব্রুয়ারী দুই হাজার চৌদ্দ তারিখে বুকলেট আপডেট করা হয়েছে
0,এখন আঠারো হাজার তিনশো টিরও বেশি ডাউনলোড সহ
0,তাহলে কেন শুধু এই টেক্সট এবং লিঙ্কগুলি অনুলিপি করবেন না এবং আপনার ইউটিউব ভিডিওগুলির বর্ণনা বাক্সে পেস্ট করুন
0,একত্রিশ শে ডিসেম্বর দুই হাজার তেরো পর্যন্ত পি এস টি সকাল আট টায় পুস্তিকাটি ষোল হাজার দুইশো সত্তর বার ডাউনলোড করা হয়েছে এবং গণনা করা হয়েছে
0,বুকলেট ডাউনলোড বাড়াতে সাহায্য করার জন্য যদি সমস্ত স্টর্মফ্রন্টার যাদের ইউটিউব অ্যাকাউন্ট আছে তারা তাদের আপলোড করা ইউটিউব ভিডিওগুলির বর্ণনা বাক্সে নিম্নলিখিত পাঠ্যটি প্রদর্শন করতে পারে তবে এটি দুর্দান্ত হবে
1,পশ্চিমা সভ্যতার ইহুদিবাদী-ইঞ্জিনিয়ার্ড ইচ্ছাকৃত ধ্বংসের উপর একটি রঙিন চিত্রিত একশো বত্রিশ পৃষ্ঠার ই-বুক বিনামূল্যে ডাউনলোডের জন্য নীচে ক্লিক করুন
0,ডাউনলোড সাত দশমিক বিয়াল্লিশ এমবি লিঙ্কে ক্লিক করুন
0,পুস্তিকা নয় ডিসেম্বর দুই হাজার তেরো তারিখে আপডেট করা হয়েছে
0,এখন ষোল হাজার এর বেশি ডাউনলোড
1,সে ইহুদী হতে পারে বা নাও হতে পারে তবে সে অবশ্যই বোকা সে মনে হয় কালোরা তাকে অন্য শ্বেতাঙ্গদের সাথে মেরে ফেলবে না তারা তাদের নোংরা হাত পেতে পারে কি একটি মাপেট
0,এগুলি এমন ধরনের গল্প যা বেশিরভাগ সময় ভারত এবং পাকিস্তান থেকে বেরিয়ে আসে
1,শুধুমাত্র কালোরা যদি অনুসন্ধানী সাংবাদিকতা নিয়ে আসতে পারে তবে আফ্রিকা থেকে কী বের হবে তা ঈশ্বর জানেন
0,অনুগ্রহ করে এই পোলে ভোট দিন আপনি কি প্রকাশ্যে তাদের নিন্দা করবেন যারা নারী ও শিশুদের হত্যার পক্ষে
1,আমাদের তথাকথিত জাগ্রত ভাইদের মধ্যে পোস্ট পড়ে তারা যা দেখছে তা না দেখা পর্যন্ত ইহুদিরা আমাদের কতটা বোকা মনে করে তাতে আমি অপমানিত
0,অনেক ধার্মিক লোক তাদের প্রোগ্রামিং অনুসরণ করছে সামান্য ব্যক্তিগত ব্যাখ্যার সাথে মিশ্রিত এবং তাদের মাথায় একটি বা দুটি ভয়েস
0,আমরা বিশ্বের প্রতিটি শ্বেতাঙ্গ জাতির লোকেদেরকে তেরো অক্টোবর শনিবার রাতে হোয়াইট ন্যাশনালিস্ট ফ্লায়ার বিতরণ করার চেষ্টা করছি
0,আমরা কি আপনাকে গণনা করতে পারি
0,এগুলি এই সাইটগুলি থেকে ডাউনলোড করা যেতে পারে
0,হ্যাঁ আপনি এটা বিশ্বাস করতে পারেন সেদিন রাস্তায় প্রচুর মানুষ এই ইহুদী সরকারের বিরুদ্ধে প্রতিবাদ করবে যা আমাদের এখানে আছে
1,এটা কি আপনাকে অবাক করে যে ইহুদিরা ভোলাপ্রথা প্রচার করে
1,এটি সঙ্গীত রেস মিক্সিং এবং পর্নোগ্রাফির প্রচারের শীর্ষে হাঙ্গেরিয়ানদের ধ্বংস করার আরেকটি উপায়
1,"আমি হাঙ্গেরি থেকে আমার বন্ধুদের সাথে বুদাপেস্টে গে প্যারেডে মারামারি দেখেছি আমরা একসাথে একটি ক্রোয়েশিয়ান দ্বীপে ছুটিতে ছিলাম হাঙ্গেরিয়ান জাতীয়তাবাদীরা কীভাবে সমকামীদের প্যারেড ধ্বংস করছে তা দেখে আমার কিছুটা হাঙ্গেরিয়ান রক্ত ​​আছে, আমার দাদি হাঙ্গেরিয়ান ছিলেন কিতার্তাস"
0,হ্যালো আমি আগামী কয়েক সপ্তাহের মধ্যে ইউরোপে যাওয়ার কথা ভাবছি এবং আয়ারল্যান্ড এবং পূর্ব ইউরোপের মধ্যে সিদ্ধান্ত নেওয়ার চেষ্টা করছি
0,আমি যদি পূর্বে যাই তবে অসুস্থ অবশ্যই বুদাপেস্টে যাবেন যদি আপনি দেখা করতে চান তবে আমাকে বিনা দ্বিধায় বিরাম দিন
1,আমি বছরের পর বছর ধরে এটি সম্পর্কে কথা বলছি নোংরা মুসলিমরা তাদের দৃষ্টি আফ্রিকার দিকে নিচ্ছে কিছু উপায়ে তারা কালোদের চেয়ে খারাপ
0,এইমাত্র একটি ভিডিও দেখেছি যেটি আমি আপনাদের সাথে শেয়ার করব ইউটিউব হোয়াইট জেনোসাইড ইন আফ্রিকা দ্য শুরু অফ দ্য শেষ
0,আমিও বৃত্তাকার দেখতে চাই এই বছরের শেষের জন্য এটির পরিকল্পনা করছি শুধু একটি বৃত্তাকার তাকান বাতাস থেকে একটি সুন্দর দেশ বলে মনে হচ্ছে
0,তথ্যটির জন্য আপনাকে ধন্যবাদ আমি স্পষ্টভাবে তাদের মধ্যে তাকান হবে
0,আমি আশা করি আরও একটির জন্য জায়গা আছে কারণ আমি এটি সম্পর্কে খুব উত্তেজিত
1,আমাদের কাছে প্রহিবিশন অফ ফরেন মিলিটারি অ্যাসিসট্যান্স অ্যাক্ট নামে একটি ছোট্ট আইন রয়েছে যা দক্ষিণ আফ্রিকায় mercsদের কাজ করা নিষিদ্ধ করে কাফের জেলে পাঁচ বছরের নরকের যন্ত্রণা নিয়ে
0,এছাড়াও আমি মনে করি ব্যবহারকারীর নাম হিসাবে আমার আসল নাম ব্যবহার করে আমি একটি বোবা কাজ করেছি যাই হোক আমি এটা পরিবর্তন করতে পারি
0,দয়া করে উপদেশ দাও
0,শনিবার থার্ড ডিস্ট্রিক্টে শো করতে যাচ্ছি আমি যাবার চেষ্টা করছি কিন্তু সম্ভবত বাড়ি যেতে হবে ধন্যবাদ
0,আমি এখন পুকুরের ওপারে ফিরে এসেছি এবং আমি আসলে সতেরো তম জেলায় ছিলাম কিন্তু ধন্যবাদ
0,ঠিক আমি এখানে একা দাঁড়িয়ে আছি
0,অন্যদের কোট লেজ অশ্বচালনা ছাড়া আমার মতামত ভয়েস
0,আপনি যদি চান উপর দখল স্বাগত জানাই
0,আমার হৃদয় আপনার বাইরে যায়
0,সত্য আপনার কাছে যাওয়ার জন্য টাকা থাকতে হবে কিন্তু মনে হচ্ছে কেউ আপনাকে সাহায্য করছে না
0,এই বছর সম্মানের দিনটি ভাল ছিল আমরা পরের বছর ফিরে আসব ফ্ল্যান্ডার্স বেলজিয়াম হিল হঙ্গেরি হিল ফ্ল্যান্ডার্স হেইল ব্লাড বিশ্বব্যাপী একটি সম্মান
0,আমি জানি তুমি কী বোঝাতে চাও
0,মাঝে মাঝে আমি এখানে টেলিভিশন দেখি এবং ক্যামেরা ম্যান কিছু আমেরিকানকে জিজ্ঞেস করে কানাডা কোথায় বেশিরভাগই জানে না
0,সম্মান দিবস নিয়ে ভিডিওটি সত্যিই চমৎকার
0,প্রতিবার যখন আমি এই ভিডিওগুলি দেখি বা আমার বন্ধুরা সাথীরা আমাকে এটি সম্পর্কে বলে আমার সবসময় খারাপ লাগে যে আমাকে এখানে থাকতে হবে বিশ্ববিদ্যালয়ের কারণে
0,আমি ভিডিওটি দেখেছি এবং আমার পর্যবেক্ষণ হল যে সঙ্গীতের সাথে বুলগেরিয়ার সাথে খুব কম মিল রয়েছে
0,কিন্তু নাচ নিজেই উপাদান আছে এটি বুলগেরিয়া পাওয়া গেছে
0,আমাকে এখন যেতে হবে তবে যত তাড়াতাড়ি সম্ভব পোস্ট করব
0,আমি মনে করি তার কাছে মৃত্যুর অভিজ্ঞতা ছিল এবং তিনি দেখেছেন যে তিনি কোথায় যাচ্ছেন এবং এখন তিনি মরিয়া দৃঢ়তার সাথে জীবনকে আঁকড়ে ধরে আছেন
0,আমি মনে করি এটি একটি নতুন আপডেটের সময়
0,কেন স্টর্মফ্রন্ট জিনিস এই ধরনের জন্য একটি বিভাগ নেই
0,একটি নয়শো এগারো বিভাগ আছে
0,আপনি ভবিষ্যদ্বাণী জন্য একটি তৈরি করতে পারে
1,আমি একটা জিনিস জানি আফ্রিকার জন্য কোন শ্বেতাঙ্গের কখনোই একটা নিকেল বা সেকেন্ড চিন্তা করা উচিত নয় কারণ তারা মন্দ দিয়ে ভালোর প্রতিদান দিয়েছে
1,কানাডায় সাদা মানুষের কোনো ভবিষ্যত নেই এটা নিশ্চিত কারণ দেশটি অশ্বেতাঙ্গ অভিবাসীদের দ্বারা প্লাবিত হচ্ছে
0,অবশ্যই আমি একটি ব্যান্ড একত্র করব এবং আমরা চমৎকার দেশপ্রেমিক পার্টি নিক্ষেপ করব
0,আমি একজন জাতীয়তাবাদীকে চিনি না
0,এখানে কতজন থাকতে পারে সে সম্পর্কে আমার কোন ধারণা নেই
0,এখানে বেশিরভাগ কানাডিয়ানই বর্ণবাদ বিরোধী এবং যারা তা নয় তারা তাদের অনুভূতি প্রকাশ করতে ভয় পায়
0,দুর্ভাগ্যক্রমে এটি বহুসংস্কৃতির দেশ
0,আমি শুনেছি শ্বেতাঙ্গরা ওরানিয়ায় যেতে চাইলে একে অপরের কাছ থেকে জমি কিনতে পারে
0,একজন সাদা পুরুষের জন্য একটি ছোট প্লট কেনার জন্য কত
0,মার্কিন ডলার দয়া করে
0,আমি এই আবর্জনার টুকরা জুড়ে এসেছি
0,মন্তব্য বলছে সে এসএ থেকে এসেছে
0,সতর্কতা গ্রাফিক
0,"যদিও তারা আবর্জনা দেখায় এবং রেস মিক্সিংকে প্রচার করে, ব্যান্ডের দুই প্রধান ব্যক্তিত্ব সাদা বিবাহিত এবং তাদের একটি সাদা সন্তান রয়েছে"
0,সম্ভবত সবচেয়ে জঘন্য জিনিস যা আমি গত বছরে দেখেছি
0,তার মনে হচ্ছে তার মধ্যে কিছু আফ্রিকান রক্ত ​​আছে অথবা হয়তো এটা শুধু মেকআপ
0,এই শুধু তাই ভুল
0,সাদা আফ্রিকানের মতো কী জাহান্নাম তার নাম
0,লেডি গাগা
0,শুধুমাত্র যদি তারা পাঞ্চ বাটি থেকে তাদের সম্মিলিত মাথা বের করে এবং বিশ্বে কী ঘটছে তা জেগে ওঠে
0,"শ্বেতাঙ্গরা এখানে অনেক বেশি আরামদায়ক প্রতিটি রাতই পার্টি নাইট, তাই কথা বলতে হবে"
0,এসএ তে আমাদের ভাই ও বোনদের অবশ্যই তাদের অবস্থানে দাঁড়াতে হবে কারণ তারা তাদের পূর্বপুরুষদের রক্ত ​​ও ঘাম দিয়ে উপার্জন করেছে
0,কী ঘটতে চলেছে তা বলা কঠিন তবে এক বা অন্যভাবে আমি মনে করি দক্ষিণ আফ্রিকার শ্বেতাঙ্গদের দেশ থেকে বেরিয়ে যাওয়া উচিত এবং কানাডা বা অস্ট্রেলিয়ার মতো নিরাপদ স্থানে যাওয়ার চেষ্টা করা উচিত
1,যদি শ্বেতাঙ্গরা দক্ষিণ আফ্রিকায় কিছু শ্বেতাঙ্গকে পিছনে রেখে প্রচুর সংখ্যায় চলে যায় তবে দেশটি পাহাড়ের নিচে যেতে শুরু করবে এবং তারপরে আরও শ্বেতাঙ্গরা দেখতে শুরু করবে যে নিগ্রোরা কী ক্ষতিগ্রস্থ এবং তারা কীভাবে তাদের দেওয়া হয়েছে তা বজায় রাখতে পারে না
0,রবি মজার এবং তার সাথে আমার কোন সমস্যা নেই
0,এটি আপনার সাধারণ আফ্রিকান সঙ্গীত
0,আমরা সবাই একটা নাচ করতে পারি এবং কিছুক্ষণের জন্য ভালো বোধ করতে পারি
0,শুধুমাত্র দুইজন স্পষ্টভাষী শিল্পী আছেন স্টিভ হফমেয়ার এবং সুনেট ব্রিজস
0,আমি এই ভিডিওটি পছন্দ করি ডাই এন্টওয়ার্ড ফ্যাটি বুম বুম অফিসিয়াল ভিডিও মেয়েটি কালো মুখে পোশাক পরে আফ্রিকাকে অসভ্য দেখায় এবং লেডি গাগাকে নিয়ে মজা করে
0,আমি তাদের সাক্ষাৎকার দেখেছি এবং তারা নোংরা বলে মনে হচ্ছে
0,তারা সবাই পাগলের মতো ধূমপান করে বিশেষ করে থ্রি স্টুজেস চুল কাটা মেয়েটি
0,শ্বেতাঙ্গদের সংখ্যা চার দশমিক আট মিলিয়নের মধ্যে বেশি
0,আমি বিশ্বাস করি এটি বেশি হতে পারে যেহেতু আমি রিপোর্ট পড়েছি যে বিশেষ করে ফ্রি স্টেটের শ্বেতাঙ্গদের সর্বশেষ আদমশুমারিতে গণনা করা হয়নি
0,খাদ্য এবং জল স্পষ্টতই খুব গুরুত্বপূর্ণ হবে এবং এটিকে রক্ষা করার উপায় কী একটি প্রতিরক্ষা বাহিনী  তারা সবাই ভূতুড়ে আপিংটনে ক্যাসপারকে হাই বলুন কী ভাল আত্মা
0,আমি আনন্দিত যে আপনি এই জিনিসগুলিতে হাঁটতে পারেন
0,শেষবার আমি অর্ধেক উঁচু কিছু পরেছিলাম আমি প্রায় আমার গোড়ালি এবং ঘাড় ভেঙে ফেলেছিলাম
0,আমি আমার জীবনের পরবর্তী সময়ে দক্ষিণ আফ্রিকার একটি কলেজে পড়াশোনা করতে চাইছি
0,দক্ষিণ আফ্রিকায় কি সংখ্যাগরিষ্ঠ সাদা বিশ্ববিদ্যালয় আছে
0,আমি ইউনিভার্সিটি অফ কেপ টাউনের ওয়েবসাইট দেখেছি এবং দেখেছি তাদের কতজন সাদা ছাত্র আছে প্রায় চল্লিশ শতাংশ
